timestamp,source_ip,destination_ip,protocol,port,size_bytes,http.host,http.request.uri,http.request.method,raw_payload
"Jun 11, 2025 09:56:01.429614000 India Standard Time",192.168.1.7,34.139.124.58,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:01.430594000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,49900,487,,,,
"Jun 11, 2025 09:56:01.430594000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,49900,85,,,,
"Jun 11, 2025 09:56:01.430714000 India Standard Time",192.168.1.7,34.139.124.58,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:01.433180000 India Standard Time",192.168.1.7,34.139.124.58,HTTPS,443,89,,,,
"Jun 11, 2025 09:56:01.812615000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,49900,54,,,,
"Jun 11, 2025 09:56:01.812615000 India Standard Time",157.230.107.172,192.168.1.7,HTTPS,49910,77,,,,
"Jun 11, 2025 09:56:01.812615000 India Standard Time",157.230.107.172,192.168.1.7,HTTPS,49910,54,,,,
"Jun 11, 2025 09:56:01.812832000 India Standard Time",192.168.1.7,157.230.107.172,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:02.831988000 India Standard Time",,,HTTPS,49797,98,,,,
"Jun 11, 2025 09:56:02.831988000 India Standard Time",,,HTTPS,49797,74,,,,
"Jun 11, 2025 09:56:02.831988000 India Standard Time",,,HTTPS,49802,98,,,,
"Jun 11, 2025 09:56:02.831988000 India Standard Time",,,HTTPS,49802,74,,,,
"Jun 11, 2025 09:56:02.831988000 India Standard Time",,,HTTPS,49797,74,,,,
"Jun 11, 2025 09:56:02.832284000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:02.832631000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:02.833118000 India Standard Time",,,HTTPS,49802,74,,,,
"Jun 11, 2025 09:56:02.833148000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:04.013513000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:04.013817000 India Standard Time",192.168.1.7,204.79.197.203,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:04.013995000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",204.79.197.203,192.168.1.7,HTTPS,49829,54,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",204.79.197.203,192.168.1.7,HTTPS,49829,54,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",,,HTTPS,49824,98,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",,,HTTPS,49824,74,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",,,HTTPS,49832,98,,,,
"Jun 11, 2025 09:56:04.146499000 India Standard Time",,,HTTPS,49832,74,,,,
"Jun 11, 2025 09:56:04.146576000 India Standard Time",192.168.1.7,204.79.197.203,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:04.146881000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:04.146936000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:05.908879000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,85,,,,
"Jun 11, 2025 09:56:05.908879000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,54,,,,
"Jun 11, 2025 09:56:05.909288000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:07.898006000 India Standard Time",192.168.1.7,23.53.128.229,HTTP,80,54,,,,
"Jun 11, 2025 09:56:07.935238000 India Standard Time",23.53.128.229,192.168.1.7,HTTP,49831,54,,,,
"Jun 11, 2025 09:56:07.935303000 India Standard Time",192.168.1.7,23.53.128.229,HTTP,80,54,,,,
"Jun 11, 2025 09:56:09.080425000 India Standard Time",194.67.103.130,192.168.1.7,HTTPS,49921,78,,,,
"Jun 11, 2025 09:56:09.080425000 India Standard Time",194.67.103.130,192.168.1.7,HTTPS,49921,54,,,,
"Jun 11, 2025 09:56:09.080630000 India Standard Time",192.168.1.7,194.67.103.130,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.879648000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 09:56:09.879826000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.879968000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.879996000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.880150000 India Standard Time",192.168.1.7,157.230.107.172,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.880170000 India Standard Time",192.168.1.7,157.230.107.172,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.880239000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.880289000 India Standard Time",192.168.1.7,194.67.103.130,HTTPS,443,54,,,,
"Jun 11, 2025 09:56:09.880540000 India Standard Time",192.168.1.7,44.228.249.3,HTTP,80,66,,,,
"Jun 11, 2025 09:56:09.883202000 India Standard Time",192.168.1.7,44.228.249.3,HTTP,80,704,testphp.vulnweb.com,/userinfo.php,POST,
