timestamp,source_ip,destination_ip,protocol,port,size_bytes,http.host,http.request.uri,http.request.method,raw_payload
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,54,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,2554,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,563,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49908,54,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49908,54,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49908,2554,,,,
"Jun 11, 2025 09:55:00.654383000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49908,563,,,,
"Jun 11, 2025 09:55:00.654475000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:00.654495000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:00.657430000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,180,,,,
"Jun 11, 2025 09:55:00.657868000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,180,,,,
"Jun 11, 2025 09:55:00.658004000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,891,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49909,54,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49909,1304,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49909,1304,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49909,601,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,312,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,2554,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49907,1052,,,,
"Jun 11, 2025 09:55:00.846218000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49908,312,,,,
"Jun 11, 2025 09:55:00.846436000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:00.846477000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:00.851603000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,180,,,,
"Jun 11, 2025 09:55:00.885799000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:01.034438000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,49909,312,,,,
"Jun 11, 2025 09:55:01.058832000 India Standard Time",192.168.1.7,157.230.107.172,HTTPS,443,66,,,,
"Jun 11, 2025 09:55:01.076256000 India Standard Time",192.168.1.7,104.248.38.210,HTTPS,443,54,,,,
"Jun 11, 2025 09:55:01.129973000 India Standard Time",,,HTTPS,443,86,,,,
"Jun 11, 2025 09:55:01.187648000 India Standard Time",192.168.1.7,51.105.71.136,HTTPS,443,1183,,,,
"Jun 11, 2025 09:55:01.187801000 India Standard Time",192.168.1.7,51.105.71.136,HTTPS,443,1304,,,,
"Jun 11, 2025 09:55:01.187801000 India Standard Time",192.168.1.7,51.105.71.136,HTTPS,443,1304,,,,
"Jun 11, 2025 09:55:01.187801000 India Standard Time",192.168.1.7,51.105.71.136,HTTPS,443,1304,,,,
