timestamp,source_ip,destination_ip,protocol,port,size_bytes,http.host,http.request.uri,http.request.method,raw_payload
"Jun 11, 2025 18:14:55.373535000 India Standard Time",140.82.113.25,192.168.1.7,HTTPS,63163,54,,,,
"Jun 11, 2025 18:14:55.378629000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:14:55.393710000 India Standard Time",,,HTTPS,443,75,,,,
"Jun 11, 2025 18:14:55.476081000 India Standard Time",,,HTTPS,49417,86,,,,
"Jun 11, 2025 18:14:55.476081000 India Standard Time",,,HTTPS,62819,74,,,,
"Jun 11, 2025 18:14:55.578354000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63203,54,,,,
"Jun 11, 2025 18:14:55.578354000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63203,89,,,,
"Jun 11, 2025 18:14:55.578354000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63203,488,,,,
"Jun 11, 2025 18:14:55.578354000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63203,85,,,,
"Jun 11, 2025 18:14:55.578428000 India Standard Time",192.168.1.7,34.139.124.58,HTTPS,443,54,,,,
"Jun 11, 2025 18:14:55.579813000 India Standard Time",192.168.1.7,34.139.124.58,HTTPS,443,89,,,,
"Jun 11, 2025 18:14:55.885785000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63203,54,,,,
"Jun 11, 2025 18:14:56.857754000 India Standard Time",192.168.1.7,185.199.108.133,HTTPS,443,55,,,,
"Jun 11, 2025 18:14:56.878345000 India Standard Time",185.199.108.133,192.168.1.7,HTTPS,62690,66,,,,
"Jun 11, 2025 18:14:57.011670000 India Standard Time",,,HTTPS,63155,74,,,,
"Jun 11, 2025 18:15:01.415216000 India Standard Time",104.248.38.210,192.168.1.7,HTTPS,63197,66,,,,
"Jun 11, 2025 18:15:01.620118000 India Standard Time",35.87.173.81,192.168.1.7,HTTPS,63193,66,,,,
"Jun 11, 2025 18:15:01.927017000 India Standard Time",35.87.173.81,192.168.1.7,HTTPS,63198,66,,,,
"Jun 11, 2025 18:15:02.848985000 India Standard Time",34.139.124.58,192.168.1.7,HTTPS,63205,66,,,,
"Jun 11, 2025 18:15:03.810405000 India Standard Time",,,HTTPS,443,86,,,,
"Jun 11, 2025 18:15:03.872750000 India Standard Time",,,HTTPS,63221,86,,,,
"Jun 11, 2025 18:15:03.872890000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:03.873305000 India Standard Time",,,HTTPS,443,1294,,,,
"Jun 11, 2025 18:15:03.873305000 India Standard Time",,,HTTPS,443,641,,,,
"Jun 11, 2025 18:15:03.976768000 India Standard Time",,,HTTPS,63221,74,,,,
"Jun 11, 2025 18:15:03.976768000 India Standard Time",,,HTTPS,63221,74,,,,
"Jun 11, 2025 18:15:03.976768000 India Standard Time",,,HTTPS,63221,4954,,,,
"Jun 11, 2025 18:15:03.976768000 India Standard Time",,,HTTPS,63221,391,,,,
"Jun 11, 2025 18:15:03.976976000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:03.980494000 India Standard Time",,,HTTPS,443,138,,,,
"Jun 11, 2025 18:15:03.980849000 India Standard Time",,,HTTPS,443,166,,,,
"Jun 11, 2025 18:15:03.981166000 India Standard Time",,,HTTPS,443,1015,,,,
"Jun 11, 2025 18:15:04.039274000 India Standard Time",,,HTTPS,63221,74,,,,
"Jun 11, 2025 18:15:04.039274000 India Standard Time",,,HTTPS,63221,253,,,,
"Jun 11, 2025 18:15:04.039274000 India Standard Time",,,HTTPS,63221,145,,,,
"Jun 11, 2025 18:15:04.039398000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:04.039850000 India Standard Time",,,HTTPS,443,105,,,,
"Jun 11, 2025 18:15:04.112703000 India Standard Time",,,HTTPS,63221,74,,,,
"Jun 11, 2025 18:15:04.538309000 India Standard Time",192.168.1.7,20.50.73.11,HTTPS,443,55,,,,
"Jun 11, 2025 18:15:04.539294000 India Standard Time",,,HTTPS,63221,6174,,,,
"Jun 11, 2025 18:15:04.539294000 India Standard Time",,,HTTPS,63221,1202,,,,
"Jun 11, 2025 18:15:04.539426000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:04.692915000 India Standard Time",,,HTTPS,63221,22034,,,,
"Jun 11, 2025 18:15:04.692915000 India Standard Time",,,HTTPS,63221,653,,,,
"Jun 11, 2025 18:15:04.693091000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:04.794586000 India Standard Time",20.50.73.11,192.168.1.7,HTTPS,62684,66,,,,
"Jun 11, 2025 18:15:04.794586000 India Standard Time",,,HTTPS,63221,19594,,,,
"Jun 11, 2025 18:15:04.794586000 India Standard Time",,,HTTPS,63221,929,,,,
"Jun 11, 2025 18:15:04.794790000 India Standard Time",,,HTTPS,443,74,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,6174,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,228,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,13494,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,1294,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,1294,,,,
"Jun 11, 2025 18:15:04.896914000 India Standard Time",,,HTTPS,63221,1294,,,,
