timestamp,source_ip,destination_ip,protocol,port,size_bytes,status
2025-06-10T14:48:50.359654,192.168.1.1,10.0.0.1,TCP,80,64,anomaly
2025-06-10T14:48:50.370095,192.168.1.2,10.0.0.2,UDP,53,65,normal
2025-06-10T14:48:50.380230,192.168.1.3,10.0.0.3,TCP,80,66,normal
2025-06-10T14:48:50.390679,192.168.1.4,10.0.0.4,UDP,53,67,normal
2025-06-10T14:48:50.401156,192.168.1.5,10.0.0.5,TCP,80,68,normal
2025-06-10T14:48:50.411586,192.168.1.6,10.0.0.6,UDP,53,69,anomaly
2025-06-10T14:48:50.421950,192.168.1.7,10.0.0.7,TCP,80,70,normal
2025-06-10T14:48:50.432529,192.168.1.8,10.0.0.8,UDP,53,71,normal
2025-06-10T14:48:50.443012,192.168.1.9,10.0.0.9,TCP,80,72,normal
2025-06-10T14:48:50.453600,192.168.1.10,10.0.0.10,UDP,53,73,normal
2025-06-10T14:48:50.464128,192.168.1.11,10.0.0.11,TCP,80,74,anomaly
2025-06-10T14:48:50.474511,192.168.1.12,10.0.0.12,UDP,53,75,normal
2025-06-10T14:48:50.485166,192.168.1.13,10.0.0.13,TCP,80,76,normal
2025-06-10T14:48:50.495779,192.168.1.14,10.0.0.14,UDP,53,77,normal
2025-06-10T14:48:50.507103,192.168.1.15,10.0.0.15,TCP,80,78,normal
2025-06-10T14:48:50.517506,192.168.1.16,10.0.0.16,UDP,53,79,anomaly
2025-06-10T14:48:50.528144,192.168.1.17,10.0.0.17,TCP,80,80,normal
2025-06-10T14:48:50.538877,192.168.1.18,10.0.0.18,UDP,53,81,normal
2025-06-10T14:48:50.549343,192.168.1.19,10.0.0.19,TCP,80,82,normal
2025-06-10T14:48:50.559827,192.168.1.20,10.0.0.20,UDP,53,83,normal
2025-06-10T14:48:50.570185,192.168.1.21,10.0.0.21,TCP,80,84,anomaly
2025-06-10T14:48:50.580480,192.168.1.22,10.0.0.22,UDP,53,85,normal
2025-06-10T14:48:50.590728,192.168.1.23,10.0.0.23,TCP,80,86,normal
2025-06-10T14:48:50.601083,192.168.1.24,10.0.0.24,UDP,53,87,normal
2025-06-10T14:48:50.611387,192.168.1.25,10.0.0.25,TCP,80,88,normal
2025-06-10T14:48:50.621923,192.168.1.26,10.0.0.26,UDP,53,89,anomaly
2025-06-10T14:48:50.632598,192.168.1.27,10.0.0.27,TCP,80,90,normal
2025-06-10T14:48:50.642890,192.168.1.28,10.0.0.28,UDP,53,91,normal
2025-06-10T14:48:50.653197,192.168.1.29,10.0.0.29,TCP,80,92,normal
2025-06-10T14:48:50.663524,192.168.1.30,10.0.0.30,UDP,53,93,normal
2025-06-10T14:48:50.674006,192.168.1.31,10.0.0.31,TCP,80,94,anomaly
2025-06-10T14:48:50.684579,192.168.1.32,10.0.0.32,UDP,53,95,normal
2025-06-10T14:48:50.695151,192.168.1.33,10.0.0.33,TCP,80,96,normal
2025-06-10T14:48:50.705722,192.168.1.34,10.0.0.34,UDP,53,97,normal
2025-06-10T14:48:50.716281,192.168.1.35,10.0.0.35,TCP,80,98,normal
2025-06-10T14:48:50.726835,192.168.1.36,10.0.0.36,UDP,53,99,anomaly
2025-06-10T14:48:50.737403,192.168.1.37,10.0.0.37,TCP,80,100,normal
2025-06-10T14:48:50.747974,192.168.1.38,10.0.0.38,UDP,53,101,normal
2025-06-10T14:48:50.758532,192.168.1.39,10.0.0.39,TCP,80,102,normal
2025-06-10T14:48:50.768823,192.168.1.40,10.0.0.40,UDP,53,103,normal
2025-06-10T14:48:50.779441,192.168.1.41,10.0.0.41,TCP,80,104,anomaly
2025-06-10T14:48:50.789879,192.168.1.42,10.0.0.42,UDP,53,105,normal
2025-06-10T14:48:50.800495,192.168.1.43,10.0.0.43,TCP,80,106,normal
2025-06-10T14:48:50.811070,192.168.1.44,10.0.0.44,UDP,53,107,normal
2025-06-10T14:48:50.821674,192.168.1.45,10.0.0.45,TCP,80,108,normal
2025-06-10T14:48:50.831936,192.168.1.46,10.0.0.46,UDP,53,109,anomaly
2025-06-10T14:48:50.842033,192.168.1.47,10.0.0.47,TCP,80,110,normal
2025-06-10T14:48:50.852383,192.168.1.48,10.0.0.48,UDP,53,111,normal
2025-06-10T14:48:50.862816,192.168.1.49,10.0.0.49,TCP,80,112,normal
2025-06-10T14:48:50.873186,192.168.1.50,10.0.0.50,UDP,53,113,normal
2025-06-10T14:48:50.883768,192.168.1.51,10.0.0.51,TCP,80,114,anomaly
2025-06-10T14:48:50.894294,192.168.1.52,10.0.0.52,UDP,53,115,normal
2025-06-10T14:48:50.904824,192.168.1.53,10.0.0.53,TCP,80,116,normal
2025-06-10T14:48:50.915372,192.168.1.54,10.0.0.54,UDP,53,117,normal
2025-06-10T14:48:50.925853,192.168.1.55,10.0.0.55,TCP,80,118,normal
2025-06-10T14:48:50.936286,192.168.1.56,10.0.0.56,UDP,53,119,anomaly
2025-06-10T14:48:50.946899,192.168.1.57,10.0.0.57,TCP,80,120,normal
2025-06-10T14:48:50.957425,192.168.1.58,10.0.0.58,UDP,53,121,normal
2025-06-10T14:48:50.968058,192.168.1.59,10.0.0.59,TCP,80,122,normal
2025-06-10T14:48:50.978347,192.168.1.60,10.0.0.60,UDP,53,123,normal
2025-06-10T14:48:50.988922,192.168.1.61,10.0.0.61,TCP,80,124,anomaly
2025-06-10T14:48:50.999541,192.168.1.62,10.0.0.62,UDP,53,125,normal
2025-06-10T14:48:51.009715,192.168.1.63,10.0.0.63,TCP,80,126,normal
